Name,Url,Race
"Angrim","http://lotr.wikia.com//wiki/Angrim",NotFound
"Arien","http://lotr.wikia.com//wiki/Arien",NotFound
"Artamir","http://lotr.wikia.com//wiki/Artamir",NotFound
"Asgon","http://lotr.wikia.com//wiki/Asgon",NotFound
"Aulë","http://lotr.wikia.com//wiki/Aul%C3%AB",NotFound
"Azog","http://lotr.wikia.com//wiki/Azog",NotFound
"Bingo Baggins","http://lotr.wikia.com//wiki/Bingo_Baggins",NotFound
"Chica (Chubb) Baggins","http://lotr.wikia.com//wiki/Chica_(Chubb)_Baggins",NotFound
"Dora Baggins","http://lotr.wikia.com//wiki/Dora_Baggins",NotFound
"Largo Baggins","http://lotr.wikia.com//wiki/Largo_Baggins",NotFound
"Mimosa (Bunce) Baggins","http://lotr.wikia.com//wiki/Mimosa_(Bunce)_Baggins",NotFound
"Pansy Baggins","http://lotr.wikia.com//wiki/Pansy_Baggins",NotFound
"Polo Baggins","http://lotr.wikia.com//wiki/Polo_Baggins",NotFound
"Ponto Baggins I","http://lotr.wikia.com//wiki/Ponto_Baggins_I",NotFound
"Ruby (Bolger) Baggins","http://lotr.wikia.com//wiki/Ruby_(Bolger)_Baggins",NotFound
"Balcmeg","http://lotr.wikia.com//wiki/Balcmeg",NotFound
"Baldor","http://lotr.wikia.com//wiki/Baldor",NotFound
"Barahir (Fourth Age)","http://lotr.wikia.com//wiki/Barahir_(Fourth_Age)",NotFound
"Beechbone","http://lotr.wikia.com//wiki/Beechbone",NotFound
"Beleg","http://lotr.wikia.com//wiki/Beleg",NotFound
"Berúthiel","http://lotr.wikia.com//wiki/Ber%C3%BAthiel",NotFound
"Bilbo Gardner","http://lotr.wikia.com//wiki/Bilbo_Gardner",NotFound
"Bodruith","http://lotr.wikia.com//wiki/Bodruith",NotFound
"Briffo Boffin","http://lotr.wikia.com//wiki/Briffo_Boffin",NotFound
"Gruffo Boffin","http://lotr.wikia.com//wiki/Gruffo_Boffin",NotFound
"Lavender (Grubb) Boffin","http://lotr.wikia.com//wiki/Lavender_(Grubb)_Boffin",NotFound
"Uffo Boffin","http://lotr.wikia.com//wiki/Uffo_Boffin",NotFound
"Boldog (Character)","http://lotr.wikia.com//wiki/Boldog_(Character)",NotFound
"Bolg","http://lotr.wikia.com//wiki/Bolg",NotFound
"Adalgar Bolger","http://lotr.wikia.com//wiki/Adalgar_Bolger",NotFound
"Gundahar Bolger","http://lotr.wikia.com//wiki/Gundahar_Bolger",NotFound
"Prisca (Baggins) Bolger","http://lotr.wikia.com//wiki/Prisca_(Baggins)_Bolger",NotFound
"Rudibert Bolger","http://lotr.wikia.com//wiki/Rudibert_Bolger",NotFound
"Theobald Bolger","http://lotr.wikia.com//wiki/Theobald_Bolger",NotFound
"Wilimar Bolger","http://lotr.wikia.com//wiki/Wilimar_Bolger",NotFound
"Tom Bombadil","http://lotr.wikia.com//wiki/Tom_Bombadil",NotFound
"Berilac Brandybuck","http://lotr.wikia.com//wiki/Berilac_Brandybuck",NotFound
"Doderic Brandybuck","http://lotr.wikia.com//wiki/Doderic_Brandybuck",NotFound
"Gorbadoc Brandybuck","http://lotr.wikia.com//wiki/Gorbadoc_Brandybuck",NotFound
"Ilberic Brandybuck","http://lotr.wikia.com//wiki/Ilberic_Brandybuck",NotFound
"Marmadoc Brandybuck","http://lotr.wikia.com//wiki/Marmadoc_Brandybuck",NotFound
"Merimac Brandybuck","http://lotr.wikia.com//wiki/Merimac_Brandybuck",NotFound
"Orgulas Brandybuck","http://lotr.wikia.com//wiki/Orgulas_Brandybuck",NotFound
"Rorimac Brandybuck","http://lotr.wikia.com//wiki/Rorimac_Brandybuck",NotFound
"Salvia (Brandybuck) Bolger","http://lotr.wikia.com//wiki/Salvia_(Brandybuck)_Bolger",NotFound
"Bregalad","http://lotr.wikia.com//wiki/Bregalad",NotFound
"Brodda","http://lotr.wikia.com//wiki/Brodda",NotFound
"Broncho Stonecrow","http://lotr.wikia.com//wiki/Broncho_Stonecrow",NotFound
"User:BryMac","http://lotr.wikia.com//wiki/User:BryMac",NotFound
"Moro Burrows","http://lotr.wikia.com//wiki/Moro_Burrows",NotFound
"Mosco Burrows","http://lotr.wikia.com//wiki/Mosco_Burrows",NotFound
"Myrtle Burrows","http://lotr.wikia.com//wiki/Myrtle_Burrows",NotFound
"Barliman Butterbur","http://lotr.wikia.com//wiki/Barliman_Butterbur",NotFound
"Calimmacil","http://lotr.wikia.com//wiki/Calimmacil",NotFound
"Carc","http://lotr.wikia.com//wiki/Carc",NotFound
"Carcharoth","http://lotr.wikia.com//wiki/Carcharoth",NotFound
"Poppy (Chubb-Baggins) Bolger","http://lotr.wikia.com//wiki/Poppy_(Chubb-Baggins)_Bolger",NotFound
"Cora Goodbody","http://lotr.wikia.com//wiki/Cora_Goodbody",NotFound
"Cottar","http://lotr.wikia.com//wiki/Cottar",NotFound
"Tolman Cotton Jr.","http://lotr.wikia.com//wiki/Tolman_Cotton_Jr.",NotFound
"Carl Cotton","http://lotr.wikia.com//wiki/Carl_Cotton",NotFound
"Wilcome Cotton","http://lotr.wikia.com//wiki/Wilcome_Cotton",NotFound
"Daeron","http://lotr.wikia.com//wiki/Daeron",NotFound
"Daisy Gamgee","http://lotr.wikia.com//wiki/Daisy_Gamgee",NotFound
"Dina Diggle","http://lotr.wikia.com//wiki/Dina_Diggle",NotFound
"Dior","http://lotr.wikia.com//wiki/Dior",NotFound
"Draugluin","http://lotr.wikia.com//wiki/Draugluin",NotFound
"Durin","http://lotr.wikia.com//wiki/Durin",NotFound
"Durin's Bane","http://lotr.wikia.com//wiki/Durin%27s_Bane",NotFound
"Ebor","http://lotr.wikia.com//wiki/Ebor",NotFound
"Ecthelion of the Fountain","http://lotr.wikia.com//wiki/Ecthelion_of_the_Fountain",NotFound
"Egalmoth (elf)","http://lotr.wikia.com//wiki/Egalmoth_(elf)",NotFound
"Elemmakil","http://lotr.wikia.com//wiki/Elemmakil",NotFound
"Elmo","http://lotr.wikia.com//wiki/Elmo",NotFound
"Elros","http://lotr.wikia.com//wiki/Elros",NotFound
"Eluréd and Elurín","http://lotr.wikia.com//wiki/Elur%C3%A9d_and_Elur%C3%ADn",NotFound
"Elwing","http://lotr.wikia.com//wiki/Elwing",NotFound
"Estë","http://lotr.wikia.com//wiki/Est%C3%AB",NotFound
"Eärendil","http://lotr.wikia.com//wiki/E%C3%A4rendil",NotFound
"Eönwë","http://lotr.wikia.com//wiki/E%C3%B6nw%C3%AB",NotFound
"Elfstan Fairbairn","http://lotr.wikia.com//wiki/Elfstan_Fairbairn",NotFound
"Falathar","http://lotr.wikia.com//wiki/Falathar",NotFound
"Fastred of Greenholm","http://lotr.wikia.com//wiki/Fastred_of_Greenholm",NotFound
"Bill Ferny","http://lotr.wikia.com//wiki/Bill_Ferny",NotFound
"Fimbrethil","http://lotr.wikia.com//wiki/Fimbrethil",NotFound
"Finglas","http://lotr.wikia.com//wiki/Finglas",NotFound
"Fire-drake of Gondolin","http://lotr.wikia.com//wiki/Fire-drake_of_Gondolin",NotFound
"Fladrif","http://lotr.wikia.com//wiki/Fladrif",NotFound
"Fuinur","http://lotr.wikia.com//wiki/Fuinur",NotFound
"Fuithluin","http://lotr.wikia.com//wiki/Fuithluin",NotFound
"Fíriel Fairbairn","http://lotr.wikia.com//wiki/F%C3%ADriel_Fairbairn",NotFound
"Galadhon","http://lotr.wikia.com//wiki/Galadhon",NotFound
"Galador","http://lotr.wikia.com//wiki/Galador",NotFound
"Galathil","http://lotr.wikia.com//wiki/Galathil",NotFound
"Galdor of the Tree","http://lotr.wikia.com//wiki/Galdor_of_the_Tree",NotFound
"Merry Gamgee","http://lotr.wikia.com//wiki/Merry_Gamgee",NotFound
"Bilbo Gamgee","http://lotr.wikia.com//wiki/Bilbo_Gamgee",NotFound
"Halfast Gamgee","http://lotr.wikia.com//wiki/Halfast_Gamgee",NotFound
"Rose Gamgee","http://lotr.wikia.com//wiki/Rose_Gamgee",NotFound
"Gamil Zirak","http://lotr.wikia.com//wiki/Gamil_Zirak",NotFound
"Gandalf","http://lotr.wikia.com//wiki/Gandalf",NotFound
"Hamfast Gardner","http://lotr.wikia.com//wiki/Hamfast_Gardner",NotFound
"Pippin Gamgee","http://lotr.wikia.com//wiki/Pippin_Gamgee",NotFound
"Primrose Gardner","http://lotr.wikia.com//wiki/Primrose_Gardner",NotFound
"Robin Gardner","http://lotr.wikia.com//wiki/Robin_Gardner",NotFound
"Gilmith","http://lotr.wikia.com//wiki/Gilmith",NotFound
"Gimli (Elf)","http://lotr.wikia.com//wiki/Gimli_(Elf)",NotFound
"Glaurung","http://lotr.wikia.com//wiki/Glaurung",NotFound
"Harry Goatleaf","http://lotr.wikia.com//wiki/Harry_Goatleaf",NotFound
"Goldberry","http://lotr.wikia.com//wiki/Goldberry",NotFound
"Goldilocks (Gardner) Took","http://lotr.wikia.com//wiki/Goldilocks_(Gardner)_Took",NotFound
"Golfimbul","http://lotr.wikia.com//wiki/Golfimbul",NotFound
"Gollum","http://lotr.wikia.com//wiki/Gollum",NotFound
"Lily (Baggins) Goodbody","http://lotr.wikia.com//wiki/Lily_(Baggins)_Goodbody",NotFound
"Togo Goodbody","http://lotr.wikia.com//wiki/Togo_Goodbody",NotFound
"Bell (Goodchild) Gamgee","http://lotr.wikia.com//wiki/Bell_(Goodchild)_Gamgee",NotFound
"Gorbag","http://lotr.wikia.com//wiki/Gorbag",NotFound
"Gorgol","http://lotr.wikia.com//wiki/Gorgol",NotFound
"Gostir","http://lotr.wikia.com//wiki/Gostir",NotFound
"Gothmog","http://lotr.wikia.com//wiki/Gothmog",NotFound
"Gothmog (Lieutenant of Morgul)","http://lotr.wikia.com//wiki/Gothmog_(Lieutenant_of_Morgul)",NotFound
"Great Goblin","http://lotr.wikia.com//wiki/Great_Goblin",NotFound
"Grishnákh","http://lotr.wikia.com//wiki/Grishn%C3%A1kh",NotFound
"Gwaihir","http://lotr.wikia.com//wiki/Gwaihir",NotFound
"Haldad","http://lotr.wikia.com//wiki/Haldad",NotFound
"Haldar","http://lotr.wikia.com//wiki/Haldar",NotFound
"Mat Heathertoes","http://lotr.wikia.com//wiki/Mat_Heathertoes",NotFound
"Herumor","http://lotr.wikia.com//wiki/Herumor",NotFound
"Herumor (Fourth Age)","http://lotr.wikia.com//wiki/Herumor_(Fourth_Age)",NotFound
"Hild","http://lotr.wikia.com//wiki/Hild",NotFound
"Tanta Hornblower","http://lotr.wikia.com//wiki/Tanta_Hornblower",NotFound
"Tobold Hornblower","http://lotr.wikia.com//wiki/Tobold_Hornblower",NotFound
"Huan","http://lotr.wikia.com//wiki/Huan",NotFound
"Hurin (Warden of the Keys)","http://lotr.wikia.com//wiki/Hurin_(Warden_of_the_Keys)",NotFound
"Ilmarë","http://lotr.wikia.com//wiki/Ilmar%C3%AB",NotFound
"Eru Ilúvatar","http://lotr.wikia.com//wiki/Eru_Il%C3%BAvatar",NotFound
"Inigo Baggins","http://lotr.wikia.com//wiki/Inigo_Baggins",NotFound
"Irmo","http://lotr.wikia.com//wiki/Irmo",NotFound
"Lagduf","http://lotr.wikia.com//wiki/Lagduf",NotFound
"Landroval","http://lotr.wikia.com//wiki/Landroval",NotFound
"Legolas (elf of Gondolin)","http://lotr.wikia.com//wiki/Legolas_(elf_of_Gondolin)",NotFound
"Lugdush","http://lotr.wikia.com//wiki/Lugdush",NotFound
"Lungorthin","http://lotr.wikia.com//wiki/Lungorthin",NotFound
"Mablung","http://lotr.wikia.com//wiki/Mablung",NotFound
"Malantur","http://lotr.wikia.com//wiki/Malantur",NotFound
"Mallor (BOH)","http://lotr.wikia.com//wiki/Mallor_(BOH)",NotFound
"Man in the Moon","http://lotr.wikia.com//wiki/Man_in_the_Moon",NotFound
"Mandos","http://lotr.wikia.com//wiki/Mandos",NotFound
"Manwë","http://lotr.wikia.com//wiki/Manw%C3%AB",NotFound
"Mauhúr","http://lotr.wikia.com//wiki/Mauh%C3%BAr",NotFound
"Melian","http://lotr.wikia.com//wiki/Melian",NotFound
"Melkor","http://lotr.wikia.com//wiki/Melkor",NotFound
"Men","http://lotr.wikia.com//wiki/Men",NotFound
"Meneldor","http://lotr.wikia.com//wiki/Meneldor",NotFound
"Minastan","http://lotr.wikia.com//wiki/Minastan",NotFound
"The Moth","http://lotr.wikia.com//wiki/The_Moth",NotFound
"Mouth of Sauron","http://lotr.wikia.com//wiki/Mouth_of_Sauron",NotFound
"Muzgash","http://lotr.wikia.com//wiki/Muzgash",NotFound
"Mûmakil","http://lotr.wikia.com//wiki/M%C3%BBmakil",NotFound
"Nahar","http://lotr.wikia.com//wiki/Nahar",NotFound
"Narvi","http://lotr.wikia.com//wiki/Narvi",NotFound
"Nauglath","http://lotr.wikia.com//wiki/Nauglath",NotFound
"Nellas","http://lotr.wikia.com//wiki/Nellas",NotFound
"Nessa","http://lotr.wikia.com//wiki/Nessa",NotFound
"Nielíqui","http://lotr.wikia.com//wiki/Niel%C3%ADqui",NotFound
"Nienna","http://lotr.wikia.com//wiki/Nienna",NotFound
"Nimloth (elf)","http://lotr.wikia.com//wiki/Nimloth_(elf)",NotFound
"Old Man Willow","http://lotr.wikia.com//wiki/Old_Man_Willow",NotFound
"Orcobal","http://lotr.wikia.com//wiki/Orcobal",NotFound
"Orleg","http://lotr.wikia.com//wiki/Orleg",NotFound
"Oromë","http://lotr.wikia.com//wiki/Orom%C3%AB",NotFound
"Ossë","http://lotr.wikia.com//wiki/Oss%C3%AB",NotFound
"User:Ostaf Windsholl","http://lotr.wikia.com//wiki/User:Ostaf_Windsholl",NotFound
"Pallando","http://lotr.wikia.com//wiki/Pallando",NotFound
"Penlod","http://lotr.wikia.com//wiki/Penlod",NotFound
"Bodo Proudfoot","http://lotr.wikia.com//wiki/Bodo_Proudfoot",NotFound
"Linda (Baggins) Proudfoot","http://lotr.wikia.com//wiki/Linda_(Baggins)_Proudfoot",NotFound
"Sancho Proudfoot","http://lotr.wikia.com//wiki/Sancho_Proudfoot",NotFound
"Olo Proudfoot","http://lotr.wikia.com//wiki/Olo_Proudfoot",NotFound
"Radagast","http://lotr.wikia.com//wiki/Radagast",NotFound
"Radbug","http://lotr.wikia.com//wiki/Radbug",NotFound
"River-woman","http://lotr.wikia.com//wiki/River-woman",NotFound
"Rog","http://lotr.wikia.com//wiki/Rog",NotFound
"Andwise Roper","http://lotr.wikia.com//wiki/Andwise_Roper",NotFound
"Roäc","http://lotr.wikia.com//wiki/Ro%C3%A4c",NotFound
"Ruby Gamgee","http://lotr.wikia.com//wiki/Ruby_Gamgee",NotFound
"Rudolph Bolger","http://lotr.wikia.com//wiki/Rudolph_Bolger",NotFound
"Ruffian Leader","http://lotr.wikia.com//wiki/Ruffian_Leader",NotFound
"Camellia (Sackville) Baggins","http://lotr.wikia.com//wiki/Camellia_(Sackville)_Baggins",NotFound
"Saeros","http://lotr.wikia.com//wiki/Saeros",NotFound
"Salgant","http://lotr.wikia.com//wiki/Salgant",NotFound
"Salmar","http://lotr.wikia.com//wiki/Salmar",NotFound
"Sandyman","http://lotr.wikia.com//wiki/Sandyman",NotFound
"Saradoc Brandybuck","http://lotr.wikia.com//wiki/Saradoc_Brandybuck",NotFound
"Saruman","http://lotr.wikia.com//wiki/Saruman",NotFound
"Sauron","http://lotr.wikia.com//wiki/Sauron",NotFound
"Scatha","http://lotr.wikia.com//wiki/Scatha",NotFound
"User:Sedlexduralex","http://lotr.wikia.com//wiki/User:Sedlexduralex",NotFound
"Seers","http://lotr.wikia.com//wiki/Seers",NotFound
"Shagrat","http://lotr.wikia.com//wiki/Shagrat",NotFound
"Shelob","http://lotr.wikia.com//wiki/Shelob",NotFound
"Smaug","http://lotr.wikia.com//wiki/Smaug",NotFound
"Snaga","http://lotr.wikia.com//wiki/Snaga",NotFound
"Snaga (Two Towers orc)","http://lotr.wikia.com//wiki/Snaga_(Two_Towers_orc)",NotFound
"Squint-eyed Southerner","http://lotr.wikia.com//wiki/Squint-eyed_Southerner",NotFound
"Tanta (Hornblower) Baggins","http://lotr.wikia.com//wiki/Tanta_(Hornblower)_Baggins",NotFound
"Tevildo","http://lotr.wikia.com//wiki/Tevildo",NotFound
"The Black Hand of Sauron","http://lotr.wikia.com//wiki/The_Black_Hand_of_Sauron",NotFound
"Thingol","http://lotr.wikia.com//wiki/Thingol",NotFound
"Thorondor","http://lotr.wikia.com//wiki/Thorondor",NotFound
"Thuringwethil","http://lotr.wikia.com//wiki/Thuringwethil",NotFound
"Théodwyn","http://lotr.wikia.com//wiki/Th%C3%A9odwyn",NotFound
"Tilion","http://lotr.wikia.com//wiki/Tilion",NotFound
"Tim","http://lotr.wikia.com//wiki/Tim",NotFound
"Tolman Gardner","http://lotr.wikia.com//wiki/Tolman_Gardner",NotFound
"Tom, Bert, and William","http://lotr.wikia.com//wiki/Tom,_Bert,_and_William",NotFound
"Everard Took","http://lotr.wikia.com//wiki/Everard_Took",NotFound
"Ferdibrand Took","http://lotr.wikia.com//wiki/Ferdibrand_Took",NotFound
"Ferdinand Took","http://lotr.wikia.com//wiki/Ferdinand_Took",NotFound
"Flambard Took","http://lotr.wikia.com//wiki/Flambard_Took",NotFound
"Lalia (Clayhanger) Took","http://lotr.wikia.com//wiki/Lalia_(Clayhanger)_Took",NotFound
"Pervinca Took","http://lotr.wikia.com//wiki/Pervinca_Took",NotFound
"Pimpernel Took","http://lotr.wikia.com//wiki/Pimpernel_Took",NotFound
"Reginard Took","http://lotr.wikia.com//wiki/Reginard_Took",NotFound
"Treebeard","http://lotr.wikia.com//wiki/Treebeard",NotFound
"Tulkas","http://lotr.wikia.com//wiki/Tulkas",NotFound
"Daddy Twofoot","http://lotr.wikia.com//wiki/Daddy_Twofoot",NotFound
"Ufthak","http://lotr.wikia.com//wiki/Ufthak",NotFound
"Uglúk","http://lotr.wikia.com//wiki/Ugl%C3%BAk",NotFound
"Uin","http://lotr.wikia.com//wiki/Uin",NotFound
"Uinen","http://lotr.wikia.com//wiki/Uinen",NotFound
"Ulmo","http://lotr.wikia.com//wiki/Ulmo",NotFound
"Ulrad","http://lotr.wikia.com//wiki/Ulrad",NotFound
"Ungoliant","http://lotr.wikia.com//wiki/Ungoliant",NotFound
"Vairë","http://lotr.wikia.com//wiki/Vair%C3%AB",NotFound
"Varda","http://lotr.wikia.com//wiki/Varda",NotFound
"Vána","http://lotr.wikia.com//wiki/V%C3%A1na",NotFound
"Vëannë","http://lotr.wikia.com//wiki/V%C3%ABann%C3%AB",NotFound
"Warg Matriarch","http://lotr.wikia.com//wiki/Warg_Matriarch",NotFound
"Watcher in the Water","http://lotr.wikia.com//wiki/Watcher_in_the_Water",NotFound
"Will Whitfoot","http://lotr.wikia.com//wiki/Will_Whitfoot",NotFound
"Widow Rumble","http://lotr.wikia.com//wiki/Widow_Rumble",NotFound
"Wife of Barach","http://lotr.wikia.com//wiki/Wife_of_Barach",NotFound
"Witch-king of Angmar","http://lotr.wikia.com//wiki/Witch-king_of_Angmar",NotFound
"Gríma Wormtongue","http://lotr.wikia.com//wiki/Gr%C3%ADma_Wormtongue",NotFound
"Yavanna","http://lotr.wikia.com//wiki/Yavanna",NotFound
